,ques_link,vote_count,answer_count,ques_title,ques_summ,keywords,date
38,"""/questions/950087/how-do-i-include-a-javascript-file-in-another-javascript-file""",5913,68,How do I include a JavaScript file in another JavaScript file?,Is there something in JavaScript similar to @import in CSS that allows you to include a JavaScript file inside another JavaScript file?,"['javascript', 'file', 'import', 'include']",2009-06-04
39,"""/questions/1628563/move-the-most-recent-commits-to-a-new-branch-with-git""",5870,20,Move the most recent commit(s) to a new branch with Git,"I'd like to move the last several commits I've committed to master to a new branch and take master back to before those commits were made. Unfortunately, my Git-fu is not strong enough yet, any help?

...","['git', 'git-branch', 'branching-and-merging']",2009-10-27
40,"""/questions/826782/how-to-disable-text-selection-highlighting""",5778,50,How to disable text selection highlighting,"For anchors that act like buttons (for example Questions, Tags, Users, etc. which are located on the top of the Stack Overflow page) or tabs, is there a CSS standard way to disable the highlighting ...","['css', 'cross-browser', 'highlight', 'textselection']",2009-05-05
41,"""/questions/59895/how-can-i-get-the-source-directory-of-a-bash-script-from-within-the-script-itsel""",5664,72,How can I get the source directory of a Bash script from within the script itself?,"How do I get the path of the directory in which a Bash script is located, inside that script?
I want to use a Bash script as a launcher for another application. I want to change the working directory ...","['bash', 'directory']",2010-06-30
42,"""/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons""",5656,48,Which equals operator (== vs ===) should be used in JavaScript comparisons?,"I'm using JSLint to go through JavaScript, and it's returning many suggestions to replace == (two equals signs) with === (three equals signs) when doing things like comparing idSele_UNVEHtype.value....","['javascript', 'operators', 'equality', 'equality-operator', 'identity-operator']",2008-12-11
43,"""/questions/762011/whats-the-difference-between-using-let-and-var""",5653,39,"What's the difference between using ""let"" and ""var""?","ECMAScript 6 introduced the let statement.
I've heard that it's described as a local variable, but I'm still not quite sure how it behaves differently than the var keyword.
What are the differences? ...","['javascript', 'scope', 'ecmascript-6', 'var', 'let']",2009-04-17
44,"""/questions/52704/how-do-i-discard-unstaged-changes-in-git""",5630,37,How do I discard unstaged changes in Git?,How do I discard changes in my working copy that are not in the index?,"['git', 'version-control']",2008-09-09
45,"""/questions/89228/how-to-execute-a-program-or-call-a-system-command""",5627,63,How to execute a program or call a system command?,How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,"['python', 'shell', 'terminal', 'subprocess', 'command']",2008-09-18
46,"""/questions/549/the-definitive-guide-to-form-based-website-authentication""",5522,11,The definitive guide to form-based website authentication [closed],"Moderator note:
This question is not a good fit for our question and answer format with the topicality rules which currently apply for Stack Overflow. We normally use a ""historical lock"" for ...","['forms', 'http', 'security', 'authentication', 'language-agnostic']",2010-06-30
47,"""/questions/417142/what-is-the-maximum-length-of-a-url-in-different-browsers""",5350,17,What is the maximum length of a URL in different browsers?,"What is the maximum length of a URL in different browsers? Does it differ among browsers?
Is a maximum URL length part of the HTTP specification?","['http', 'url', 'browser']",2009-01-06
48,"""/questions/9329446/for-each-over-an-array-in-javascript""",5294,40,For-each over an array in JavaScript,"How can I loop through all the entries in an array using JavaScript?

I thought it was something like this:

forEach(instance in theArray)
Where theArray is my array, but this seems to be incorrect.","['javascript', 'arrays', 'loops', 'foreach', 'iteration']",2012-02-17
49,"""/questions/215718/how-can-i-reset-or-revert-a-file-to-a-specific-revision""",5231,34,How can I reset or revert a file to a specific revision?,"I have made some changes to a file which has been committed a few times as part of a group of files, but now want to reset/revert the changes on it back to a previous version. 

I have done a git log ...","['git', 'version-control', 'git-checkout']",2008-10-18
50,"""/questions/46155/whats-the-best-way-to-validate-an-email-address-in-javascript""",5227,101,What's the best way to validate an email address in JavaScript?,What's the best way to validate an email address in JavaScript with a regular expression?,"['javascript', 'regex', 'validation', 'email-validation']",2010-06-30
51,"""/questions/487258/what-is-a-plain-english-explanation-of-big-o-notation""",5209,43,"What is a plain English explanation of ""Big O"" notation?",I'd prefer as little formal definition as possible and simple mathematics.,"['algorithm', 'complexity-theory', 'computer-science', 'big-o', 'time-complexity']",2009-01-28
52,"""/questions/2432764/how-to-change-the-uri-url-for-a-remote-git-repository""",5189,31,How to change the URI (URL) for a remote Git repository?,"I have a repo (origin) on a USB key that I cloned on my hard drive (local). I moved ""origin"" to a NAS and successfully tested cloning it from here.

I would like to know if I can change the URI of ""...","['git', 'url', 'git-remote']",2010-03-12
53,"""/questions/122102/what-is-the-most-efficient-way-to-deep-clone-an-object-in-javascript""",5173,67,What is the most efficient way to deep clone an object in JavaScript?,"What is the most efficient way to clone a JavaScript object? I've seen obj = eval(uneval(o)); being used, but that's non-standard and only supported by Firefox. I've done things like obj = JSON.parse(...","['javascript', 'object', 'clone']",2010-06-30
54,"""/questions/161813/how-to-resolve-merge-conflicts-in-a-git-repository""",5166,36,How to resolve merge conflicts in a Git repository?,"I want to resolve merge conflicts in my Git repository.
How can I do that?","['git', 'git-merge', 'merge-conflict-resolution', 'git-merge-conflict']",2008-10-02
55,"""/questions/273192/how-can-i-safely-create-a-nested-directory""",5121,30,How can I safely create a nested directory?,"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:
import os

file_path = ""/my/...","['python', 'exception', 'path', 'directory', 'operating-system']",2008-11-07
56,"""/questions/1144783/how-to-replace-all-occurrences-of-a-string-in-javascript""",5111,79,How to replace all occurrences of a string in JavaScript,"I have this string in my JavaScript code:
""Test abc test test abc test test test abc test test abc""

Doing:
str = str.replace('abc', '');

Seems to only remove the first occurrence of abc in ...","['javascript', 'string', 'replace']",2009-07-17
57,"""/questions/2765421/how-do-i-push-a-new-local-branch-to-a-remote-git-repository-and-track-it-too""",5093,16,How do I push a new local branch to a remote Git repository and track it too?,"I want to be able to do the following:

Create a local branch based on some other (remote or local) branch (via git branch or git checkout -b)

Push the local branch
to the remote repository (publish),...","['git', 'repository', 'git-branch', 'git-push', 'git-remote']",2010-05-04
58,"""/questions/38549/what-is-the-difference-between-inner-join-and-outer-join""",5044,27,"What is the difference between ""INNER JOIN"" and ""OUTER JOIN""?","Also how do LEFT JOIN, RIGHT JOIN and FULL JOIN fit in?","['sql', 'database', 'join', 'inner-join', 'outer-join']",2008-09-01
59,"""/questions/901712/how-do-i-check-whether-a-checkbox-is-checked-in-jquery""",4981,67,How do I check whether a checkbox is checked in jQuery?,"I need to check the checked property of a checkbox and perform an action based on the checked property using jQuery.
For example, if the age checkbox is checked, then I need to show a textbox to enter ...","['javascript', 'jquery', 'html', 'checkbox']",2010-06-30
60,"""/questions/406230/regular-expression-to-match-a-line-that-doesnt-contain-a-word""",4901,31,Regular expression to match a line that doesn't contain a word,"I know it's possible to match a word and then reverse the matches using other tools (e.g. grep -v). However, is it possible to match lines that do not contain a specific word, e.g. hede, using a ...","['regex', 'pattern-matching', 'regex-negation']",2010-06-30
61,"""/questions/3737139/reference-what-does-this-symbol-mean-in-php""",4891,22,Reference — What does this symbol mean in PHP?,"What is this?
This is a collection of questions that come up every now and then about syntax in PHP. This is also a Community Wiki, so everyone is invited to participate in maintaining this list.
Why ...","['php', 'arguments', 'operators', 'symbols', 'semantics']",2010-06-30
62,"""/questions/115983/how-can-i-add-a-blank-directory-to-a-git-repository""",4890,37,How can I add a blank directory to a Git repository?,How can I add a blank directory (that contains no files) to a Git repository?,"['git', 'directory', 'git-add']",2008-09-22
63,"""/questions/1628088/reset-local-repository-branch-to-be-just-like-remote-repository-head""",4868,22,Reset local repository branch to be just like remote repository HEAD,"How do I reset my local branch to be just like the branch on the remote repository?

I did:

git reset --hard HEAD
But when I run a git status,

On branch master
Changes to be committed:
  (use ""git ...","['git', 'undo']",2009-10-27
64,"""/questions/105034/how-to-create-a-guid-uuid""",4849,69,How to create a GUID / UUID,"I'm trying to create globally-unique identifiers in JavaScript.  I'm not sure what routines are available on all browsers, how ""random"" and seeded the built-in random number generator is, ...","['javascript', 'guid', 'uuid']",2010-06-30
65,"""/questions/4089430/how-can-i-determine-the-url-that-a-local-git-repository-was-originally-cloned-fr""",4836,26,How can I determine the URL that a local Git repository was originally cloned from?,"I pulled a project from GitHub a few days ago. I've since discovered that there are several forks on GitHub, and I neglected to note which one I took originally. How can I determine which of those ...","['git', 'github', 'git-remote']",2010-11-03
66,"""/questions/114543/how-to-horizontally-center-an-element""",4793,125,How to horizontally center an element,"How can I horizontally center a <div> within another <div> using CSS?
<div id=""outer"">
  <div id=""inner"">Foo foo</div>
</div>","['html', 'css', 'alignment', 'centering']",2010-06-30
67,"""/questions/176264/what-is-the-difference-between-a-uri-a-url-and-a-urn""",4736,31,"What is the difference between a URI, a URL and a URN?","People talk about URLs, URIs, and URNs as if they're different things, but they look the same to the naked eye.

What are the distinguishable differences between them?","['http', 'url', 'uri', 'urn', 'rfc3986']",2008-10-06
68,"""/questions/4456438/how-to-pass-null-a-real-surname-to-a-soap-web-service-in-actionscript-3""",4728,9,"How to pass ""Null"" (a real surname!) to a SOAP web service in ActionScript 3",We have an employee whose surname is Null. Our employee lookup application is killed when that last name is used as the search term (which happens to be quite often now). The error received (thanks ...,"['apache-flex', 'actionscript', 'soap', 'coldfusion', 'wsdl']",2010-12-16
69,"""/questions/11828270/how-do-i-exit-the-vim-editor""",4595,13,How do I exit the Vim editor?,"I'm stuck and cannot escape. It says:

""type :quit<Enter> to quit VIM""
But when I type that it simply appears in the object body.","['vim', 'vi']",2012-08-06
70,"""/questions/522563/accessing-the-index-in-for-loops""",4581,22,Accessing the index in 'for' loops?,"How do I access the index in a for loop like the following?

ints = [8, 23, 45, 12, 78]
for i in ints:
    print('item #{} = {}'.format(???, i))
I want to get this output:

item #1 = 8
item #2 = 23
...","['python', 'loops', 'list']",2009-02-06
71,"""/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript""",4577,56,How do I check if an array includes a value in JavaScript?,"What is the most concise and efficient way to find out if a JavaScript array contains a value?
This is the only way I know to do it:
function contains(a, obj) {
    for (var i = 0; i < a.length; i++...","['javascript', 'arrays', 'algorithm', 'time-complexity', 'javascript-objects']",2008-10-25
72,"""/questions/1026069/how-do-i-make-the-first-letter-of-a-string-uppercase-in-javascript""",4549,115,How do I make the first letter of a string uppercase in JavaScript?,"How do I make the first letter of a string uppercase, but not change the case of any of the other letters?
For example:

""this is a test"" → ""This is a test""
""the Eiffel Tower&...","['javascript', 'string', 'letter', 'capitalize']",2009-06-22
73,"""/questions/952914/how-to-make-a-flat-list-out-of-a-list-of-lists""",4540,27,How to make a flat list out of a list of lists?,"Is there a shortcut to make a simple list out of a list of lists in Python?
I can do it in a for loop, but is there some cool ""one-liner""?
I tried it with functools.reduce():
from functools ...","['python', 'list', 'multidimensional-array', 'flatten']",2009-06-04
74,"""/questions/5189560/squash-my-last-x-commits-together-using-git""",4531,40,Squash my last X commits together using Git,How can I squash my last X commits together into one commit using Git?,"['git', 'rebase', 'squash', 'git-squash']",2011-03-04
75,"""/questions/2389361/undo-a-git-merge-that-hasnt-been-pushed-yet""",4520,33,Undo a Git merge that hasn't been pushed yet,"Within my master branch, I did a git merge some-other-branch locally, but never pushed the changes to origin master. I didn't mean to merge, so I'd like to undo it. When doing a git status after my ...","['git', 'undo', 'git-merge']",2010-03-05
76,"""/questions/67699/how-to-clone-all-remote-branches-in-git""",4520,45,How to clone all remote branches in Git,"I have a master and a development branch, both pushed to GitHub. I've cloned, pulled, and fetched, but I remain unable to get anything other than the master branch back.

I'm sure I'm missing ...","['git', 'git-branch', 'git-clone', 'remote-branch']",2008-09-15
77,"""/questions/14994391/thinking-in-angularjs-if-i-have-a-jquery-background""",4510,15,"""Thinking in AngularJS"" if I have a jQuery background? [closed]","Suppose I'm familiar with developing client-side applications in jQuery, but now I'd like to start using AngularJS. Can you describe the paradigm shift that is necessary? Here are a few questions that ...","['javascript', 'jquery', 'angularjs']",2013-02-21
78,"""/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java""",4486,62,How do I read / convert an InputStream into a String in Java?,"If you have a java.io.InputStream object, how should you process that object and produce a String?
Suppose I have an InputStream that contains text data, and I want to convert it to a String, so for ...","['java', 'string', 'io', 'stream', 'inputstream']",2008-11-21
79,"""/questions/221294/how-do-you-get-a-timestamp-in-javascript""",4470,41,How do you get a timestamp in JavaScript?,"Something similar to Unix's timestamp, that is a single number that represents the current time and date. Either as a number or a string.","['javascript', 'datetime', 'timestamp', 'date-arithmetic']",2008-10-21
80,"""/questions/426258/setting-checked-for-a-checkbox-with-jquery""",4430,43,"Setting ""checked"" for a checkbox with jQuery","I'd like to do something like this to tick a checkbox using jQuery:

$("".myCheckBox"").checked(true);
or

$("".myCheckBox"").selected(true);
Does such a thing exist?","['javascript', 'jquery', 'checkbox', 'selected', 'checked']",2009-01-08
81,"""/questions/22343224/whats-the-difference-between-tilde-and-caret-in-package-json""",4412,19,What's the difference between tilde(~) and caret(^) in package.json?,"After I upgraded to the latest stable node and npm, I tried npm install moment --save. It saves the entry in the package.json with the caret ^ prefix. Previously, it was a tilde ~ prefix.

Why are ...","['node.js', 'npm', 'package.json', 'semantic-versioning']",2014-03-12
82,"""/questions/7244321/how-do-i-update-or-sync-a-forked-repository-on-github""",4364,31,How do I update or sync a forked repository on GitHub?,"I forked a project, applied several fixes and created a pull request which was accepted. A few days later, another change was made by another contributor. So my fork doesn't contain that change.
How ...","['git', 'github', 'synchronization', 'repository', 'fork']",2011-08-30
83,"""/questions/2669690/why-does-google-prepend-while1-to-their-json-responses""",4327,8,Why does Google prepend while(1); to their JSON responses?,"Why does Google prepend while(1); to their (private) JSON responses?

For example, here's a response while turning a calendar on and off in Google Calendar:

while (1);
[
  ['u', [
    ['smsSentFlag', ...","['javascript', 'json', 'ajax', 'security']",2010-04-19
84,"""/questions/134845/which-href-value-should-i-use-for-javascript-links-or-javascriptvoid0""",4315,55,"Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?","The following are two methods of building a link that has the sole purpose of running JavaScript code. Which is better, in terms of functionality, page load speed, validation purposes, etc.?



...","['javascript', 'html', 'performance', 'optimization', 'href']",2010-06-30
85,"""/questions/271526/avoiding-nullpointerexception-in-java""",4281,65,Avoiding NullPointerException in Java,"I use object != null a lot to avoid NullPointerException.
What is an alternative to:
if (someobject != null) {
    someobject.doCalc();
}","['java', 'nullpointerexception', 'null']",2010-06-30
86,"""/questions/388242/the-definitive-c-book-guide-and-list""",4235,1,The Definitive C++ Book Guide and List,"This question attempts to collect the few pearls among the dozens of bad C++ books that are published every year.
Unlike many other programming languages, which are often picked up on the go from ...","['c++', 'c++-faq']",2010-06-30
87,"""/questions/136097/difference-between-staticmethod-and-classmethod""",4230,33,Difference between staticmethod and classmethod,What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"['python', 'oop', 'methods', 'python-decorators']",2008-09-25
88,"""/questions/5480258/how-to-delete-a-remote-tag""",4229,26,How to delete a remote tag?,How do you delete a Git tag that has already been pushed?,"['git', 'git-tag']",2011-03-29
89,"""/questions/2610497/change-a-html5-inputs-placeholder-color-with-css""",4211,43,Change a HTML5 input's placeholder color with CSS,"Chrome supports the placeholder attribute on input[type=text] elements (others probably do too).
But the following CSS doesn't do anything to the placeholder's value:


input[placeholder], [...","['css', 'html', 'placeholder', 'html-input']",2010-06-30
90,"""/questions/1109022/how-do-you-close-hide-the-android-soft-keyboard-programmatically""",4171,123,How do you close/hide the Android soft keyboard programmatically?,"I have an EditText and a Button in my layout.
After writing in the edit field and clicking on the Button, I want to hide the virtual keyboard when touching outside the keyboard. I assume that this is ...","['android', 'android-edittext', 'android-softkeyboard', 'android-input-method', 'soft-keyboard']",2010-06-30
91,"""/questions/509211/understanding-slice-notation""",4157,33,Understanding slice notation,"I need a good explanation (references are a plus) on Python's slice notation. 

To me, this notation needs a bit of picking up. 

It looks extremely powerful, but I haven't quite got my head around it....","['python', 'list', 'slice', 'iterable']",2009-02-03
92,"""/questions/105372/how-to-enumerate-an-enum""",4151,33,How to enumerate an enum,"How can you enumerate an enum in C#?

E.g. the following code does not compile:

public enum Suit
{
    Spades,
    Hearts,
    Clubs,
    Diamonds
}

public void EnumerateAllSuitsDemoMethod()
{
    ...","['c#', '.net', 'loops', 'enums', 'enumeration']",2008-09-19
93,"""/questions/16047306/how-is-docker-different-from-a-virtual-machine""",4137,22,How is Docker different from a virtual machine?,"I keep rereading the Docker documentation to try to understand the difference between Docker and a full VM. How does it manage to provide a full filesystem, isolated networking environment, etc. ...","['docker', 'comparison', 'virtual-machine']",2013-04-16
94,"""/questions/40471/what-are-the-differences-between-a-hashmap-and-a-hashtable-in-java""",4118,35,What are the differences between a HashMap and a Hashtable in Java?,"What are the differences between a HashMap and a Hashtable in Java?

Which is more efficient for non-threaded applications?","['java', 'collections', 'hashmap', 'hashtable']",2008-09-02
95,"""/questions/59838/how-can-i-check-if-a-directory-exists-in-a-bash-shell-script""",4111,36,How can I check if a directory exists in a Bash shell script?,"What command can be used to check if a directory exists or not, within a Bash shell script?","['bash', 'shell', 'unix', 'posix']",2008-09-12
